timestep,seed,target_angle_deg,reward_scale,mode,manual_alpha,condition,episode_return,episode_length,alpha
1000,3,90.0,1.0,auto,,auto_target_p090_scale_1,-3892.8534676999343,1000,0.1727699339389801
2000,3,90.0,1.0,auto,,auto_target_p090_scale_1,-1845.8843302813143,1000,0.1346079558134079
3000,3,90.0,1.0,auto,,auto_target_p090_scale_1,-1629.9552052426975,1000,0.11518334597349167
4000,3,90.0,1.0,auto,,auto_target_p090_scale_1,-1481.289200252296,1000,0.10636655986309052
5000,3,90.0,1.0,auto,,auto_target_p090_scale_1,-1480.888390722749,1000,0.0989401564002037
6000,3,90.0,1.0,auto,,auto_target_p090_scale_1,-1577.0806804420108,1000,0.08120571821928024
7000,3,90.0,1.0,auto,,auto_target_p090_scale_1,-1501.3269670290215,1000,0.06163309887051582
8000,3,90.0,1.0,auto,,auto_target_p090_scale_1,-1571.7318975308426,1000,0.05371301621198654
9000,3,90.0,1.0,auto,,auto_target_p090_scale_1,-1463.7628877908444,1000,0.05908144637942314
10000,3,90.0,1.0,auto,,auto_target_p090_scale_1,-1421.3679997929087,1000,0.07136151939630508
11000,3,90.0,1.0,auto,,auto_target_p090_scale_1,-1470.627517942397,1000,0.08086961507797241
12000,3,90.0,1.0,auto,,auto_target_p090_scale_1,-1452.5670307628257,1000,0.08174443244934082
13000,3,90.0,1.0,auto,,auto_target_p090_scale_1,-1475.8233982818256,1000,0.07567386329174042
14000,3,90.0,1.0,auto,,auto_target_p090_scale_1,-1472.5366986272165,1000,0.06802918016910553
15000,3,90.0,1.0,auto,,auto_target_p090_scale_1,-1492.2433935270028,1000,0.06454170495271683
16000,3,90.0,1.0,auto,,auto_target_p090_scale_1,-1511.759620740284,1000,0.06685446947813034
17000,3,90.0,1.0,auto,,auto_target_p090_scale_1,-1482.7316369803166,1000,0.07304523885250092
18000,3,90.0,1.0,auto,,auto_target_p090_scale_1,-1528.1643859010285,1000,0.07791220396757126
19000,3,90.0,1.0,auto,,auto_target_p090_scale_1,-1451.9909558854558,1000,0.08050709962844849
20000,3,90.0,1.0,auto,,auto_target_p090_scale_1,-1440.4429477660356,1000,0.07739309966564178
21000,3,90.0,1.0,auto,,auto_target_p090_scale_1,-1529.6774697529622,1000,0.07257584482431412
22000,3,90.0,1.0,auto,,auto_target_p090_scale_1,-1505.3723113491983,1000,0.0699995830655098
23000,3,90.0,1.0,auto,,auto_target_p090_scale_1,-1429.9803703324442,1000,0.07027330249547958
24000,3,90.0,1.0,auto,,auto_target_p090_scale_1,-1428.6060795100727,1000,0.07346826046705246
25000,3,90.0,1.0,auto,,auto_target_p090_scale_1,-1415.421073524878,1000,0.07706242799758911
26000,3,90.0,1.0,auto,,auto_target_p090_scale_1,-1439.3334077439054,1000,0.0785420760512352
