timestep,seed,target_angle_deg,reward_scale,mode,manual_alpha,condition,episode_return,episode_length,alpha
1000,8,-150.0,1.0,manual,0.01,manual_target_m150_alpha_0p01_scale_1,-3332.986317452591,1000,0.009999999776482582
2000,8,-150.0,1.0,manual,0.01,manual_target_m150_alpha_0p01_scale_1,-311.0953931814142,1000,0.009999999776482582
3000,8,-150.0,1.0,manual,0.01,manual_target_m150_alpha_0p01_scale_1,-236.67507513943283,1000,0.009999999776482582
4000,8,-150.0,1.0,manual,0.01,manual_target_m150_alpha_0p01_scale_1,-205.36325672488704,1000,0.009999999776482582
5000,8,-150.0,1.0,manual,0.01,manual_target_m150_alpha_0p01_scale_1,-254.119314812382,1000,0.009999999776482582
6000,8,-150.0,1.0,manual,0.01,manual_target_m150_alpha_0p01_scale_1,-379.96676783342315,1000,0.009999999776482582
7000,8,-150.0,1.0,manual,0.01,manual_target_m150_alpha_0p01_scale_1,-285.24917549811454,1000,0.009999999776482582
8000,8,-150.0,1.0,manual,0.01,manual_target_m150_alpha_0p01_scale_1,-148.91017908653163,1000,0.009999999776482582
9000,8,-150.0,1.0,manual,0.01,manual_target_m150_alpha_0p01_scale_1,-133.042328855431,1000,0.009999999776482582
10000,8,-150.0,1.0,manual,0.01,manual_target_m150_alpha_0p01_scale_1,-170.8047259799685,1000,0.009999999776482582
11000,8,-150.0,1.0,manual,0.01,manual_target_m150_alpha_0p01_scale_1,-250.49984203097415,1000,0.009999999776482582
12000,8,-150.0,1.0,manual,0.01,manual_target_m150_alpha_0p01_scale_1,-119.32788469719993,1000,0.009999999776482582
13000,8,-150.0,1.0,manual,0.01,manual_target_m150_alpha_0p01_scale_1,-138.2661041551625,1000,0.009999999776482582
14000,8,-150.0,1.0,manual,0.01,manual_target_m150_alpha_0p01_scale_1,-183.1542445569766,1000,0.009999999776482582
15000,8,-150.0,1.0,manual,0.01,manual_target_m150_alpha_0p01_scale_1,-110.89715243282917,1000,0.009999999776482582
16000,8,-150.0,1.0,manual,0.01,manual_target_m150_alpha_0p01_scale_1,-168.7924495320483,1000,0.009999999776482582
17000,8,-150.0,1.0,manual,0.01,manual_target_m150_alpha_0p01_scale_1,-258.6609957871731,1000,0.009999999776482582
18000,8,-150.0,1.0,manual,0.01,manual_target_m150_alpha_0p01_scale_1,-158.21419640375328,1000,0.009999999776482582
19000,8,-150.0,1.0,manual,0.01,manual_target_m150_alpha_0p01_scale_1,-217.7034143244356,1000,0.009999999776482582
20000,8,-150.0,1.0,manual,0.01,manual_target_m150_alpha_0p01_scale_1,-116.05904320065292,1000,0.009999999776482582
21000,8,-150.0,1.0,manual,0.01,manual_target_m150_alpha_0p01_scale_1,-98.6196668375522,1000,0.009999999776482582
22000,8,-150.0,1.0,manual,0.01,manual_target_m150_alpha_0p01_scale_1,-91.23203842135769,1000,0.009999999776482582
23000,8,-150.0,1.0,manual,0.01,manual_target_m150_alpha_0p01_scale_1,-113.63365891507812,1000,0.009999999776482582
24000,8,-150.0,1.0,manual,0.01,manual_target_m150_alpha_0p01_scale_1,-97.33812781641434,1000,0.009999999776482582
