global_step,critic_loss,actor_loss,alpha,alpha_loss,entropy
10000,108.6421890258789,-0.2460782527923584,0.2,-0.041184015572071075,1.3841575384140015
11000,109.29344940185547,3.529440402984619,0.27232311955772703,1.5488801002502441,0.16782380640506744
12000,78.49553680419922,3.06001353263855,0.36864981030598426,0.9843825101852417,0.3721224069595337
13000,113.13218688964844,6.54020881652832,0.4897234751368583,0.6882098317146301,0.39457350969314575
14000,74.8229751586914,2.403428554534912,0.6404527682645564,0.4107218086719513,0.4367993175983429
15000,83.3510971069336,3.459829330444336,0.8308237718444351,0.14964066445827484,0.551173210144043
16000,43.844482421875,0.9295748472213745,1.0687214843076343,-0.03773835301399231,0.7907589673995972
17000,10.67642593383789,-5.444194316864014,1.3621829580978697,-0.15795259177684784,0.8475414514541626
18000,33.75961685180664,-9.188309669494629,1.724926251556832,-0.21558019518852234,0.9631421566009521
19000,93.15204620361328,-16.416351318359375,2.182841095637992,-0.2873842120170593,0.9904232025146484
20000,21.875438690185547,-19.37218475341797,2.7284813010333533,-0.24742662906646729,1.1120649576187134
21000,38.12677001953125,-36.358734130859375,3.3913519820316993,-0.24310050904750824,1.1595062017440796
22000,17.053150177001953,-52.930049896240234,4.177233461585613,-0.21578721702098846,1.2076313495635986
23000,67.09552001953125,-76.95426940917969,5.100996627262175,-0.16760611534118652,1.255707025527954
24000,40.01473617553711,-93.09568786621094,6.208179764809036,-0.116883784532547,1.2945530414581299
25000,163.1316680908203,-126.59617614746094,7.576023460892743,-0.1229197084903717,1.2978670597076416
26000,43.549530029296875,-164.4873046875,9.22449820297409,-0.10383625328540802,1.3118345737457275
27000,298.7320556640625,-216.61619567871094,11.132847182159479,-0.06514579057693481,1.331535816192627
28000,89.79317474365234,-281.8094482421875,13.277132316919527,-0.04622143879532814,1.3406949043273926
29000,86.19474792480469,-348.6478271484375,15.818269557682248,-0.039627041667699814,1.3442169427871704
30000,327.6544189453125,-424.94677734375,18.87205854853276,-0.035091809928417206,1.3466230630874634
31000,171.4835205078125,-511.0145263671875,22.066117475951042,-0.030072849243879318,1.348848819732666
32000,147.05487060546875,-634.103759765625,25.752307121892624,-0.011877769604325294,1.3549120426177979
33000,796.279541015625,-747.258544921875,30.055603348219297,-0.019266847521066666,1.3529067039489746
34000,312.2712707519531,-913.7757568359375,34.6166791481966,-0.0002759690396487713,1.3584907054901123
35000,326.82867431640625,-1051.861572265625,39.9033158814435,-0.01543086301535368,1.3543826341629028
36000,575.18505859375,-1215.857666015625,46.84025360792181,-0.015616070479154587,1.354508876800537
37000,1044.8990478515625,-1459.7294921875,53.03402606755144,-0.0027037160471081734,1.3578875064849854
38000,2072.7919921875,-1704.6214599609375,59.57508721480405,0.0015307217836380005,1.358942985534668
39000,4627.123046875,-1878.3194580078125,67.37684237652925,0.013830775395035744,1.3618533611297607
40000,3190.824951171875,-2219.775390625,77.08833892233746,-0.0006579471519216895,1.35841703414917
41000,4753.3017578125,-2516.4482421875,88.72714058514569,-0.004786919802427292,1.3575012683868408
42000,4407.8564453125,-3029.573486328125,99.44915021443074,-0.005057068541646004,1.3574689626693726
43000,3418.52294921875,-3449.0673828125,115.56153764059525,0.007618209347128868,1.3601722717285156
44000,7103.92578125,-3765.739990234375,127.81467327738622,0.006085382774472237,1.3598229885101318
45000,81899.671875,-4309.9677734375,144.74557087888766,-0.04015696421265602,1.3504966497421265
46000,84735.0078125,-4948.5029296875,165.41463474679742,-0.0053121126256883144,1.357528567314148
47000,58883.515625,-5558.888671875,183.41666377691374,0.003243312705308199,1.3591907024383545
48000,164184.21875,-6220.65087890625,205.0558639440408,0.0040018996223807335,1.3593201637268066
49000,92147.828125,-7302.6064453125,231.66213946996925,-0.030696917325258255,1.3529311418533325
