global_step,critic_loss,actor_loss,alpha,logp,alpha_loss
10000,19.603374481201172,-0.10471230745315552,0.2,-1.3164279460906982,-5.337584972381592
11000,98.85882568359375,7.960954666137695,0.15810897133053847,0.726593017578125,-2.348762035369873
12000,76.03089904785156,7.545971870422363,0.13131772892906002,1.3462893962860107,-1.3271212577819824
13000,85.7913818359375,9.097349166870117,0.1122347860581706,1.8254644870758057,-0.38173753023147583
14000,61.73926544189453,9.886127471923828,0.10342257392626365,1.9906283617019653,-0.02126368135213852
15000,19.279102325439453,4.148447036743164,0.10010392561984387,1.6401593685150146,-0.82819002866745
16000,10.768051147460938,0.8229733109474182,0.10180956796966086,2.2734344005584717,0.6247022151947021
17000,25.47751808166504,8.759404182434082,0.12521478468957561,2.426541805267334,0.8862367272377014
18000,8.621063232421875,-0.693175196647644,0.1294701649347141,2.231557607650757,0.47337445616722107
19000,128.72067260742188,-0.3132801949977875,0.13528486848139987,1.828458547592163,-0.3431467115879059
20000,38.74116134643555,6.847567081451416,0.13024982369827828,1.7123193740844727,-0.5863798260688782
21000,11.494796752929688,2.884230136871338,0.1255697828272162,1.8247239589691162,-0.3636794090270996
22000,15.480618476867676,1.6693276166915894,0.12088313541419997,1.9886786937713623,-0.023920908570289612
23000,19.75706672668457,0.8360621929168701,0.12028139725462665,2.0100369453430176,0.02125735580921173
24000,16.89664649963379,3.0323853492736816,0.11676654432398086,2.1092841625213623,0.2346964031457901
25000,65.69026184082031,1.2015361785888672,0.11266797546126034,2.007044792175293,0.015380866825580597
26000,64.18975067138672,-3.409318447113037,0.11673378939821648,2.012786865234375,0.027464479207992554
27000,56.0778694152832,-1.2244133949279785,0.11793008656394516,2.056351661682129,0.1204606145620346
28000,12.275224685668945,1.5656324625015259,0.11218692583532659,2.309385299682617,0.6768078207969666
29000,11.816020965576172,1.5355193614959717,0.11425046862945672,1.9539308547973633,-0.09994097054004669
30000,17.251922607421875,4.518590927124023,0.11697269215436404,1.9475204944610596,-0.11261104047298431
31000,15.428747177124023,-1.9236862659454346,0.11433922957731041,1.8513035774230957,-0.32246118783950806
32000,14.166378021240234,-3.6165058612823486,0.10909343745865092,1.8818731307983398,-0.26171594858169556
33000,49.05461883544922,-0.2460131049156189,0.10619841230856562,2.1665902137756348,0.3735693693161011
34000,21.029129028320312,-1.070210337638855,0.10589760034940388,2.2502636909484863,0.5619125962257385
35000,23.17391014099121,4.713996410369873,0.10067118236214037,2.284733295440674,0.6537180542945862
36000,70.53141784667969,-1.1517677307128906,0.10059398838033586,2.126694679260254,0.2909754514694214
37000,27.716976165771484,-2.3500289916992188,0.1040758284868664,1.7748425006866455,-0.5094496011734009
38000,19.880496978759766,-1.7430641651153564,0.10027853390466797,2.103771686553955,0.23865453898906708
39000,11.978678703308105,-2.866162061691284,0.10280899199785615,2.1460132598876953,0.3321632146835327
40000,8.783172607421875,1.887497901916504,0.10328850702355649,2.144798755645752,0.32872647047042847
