global_step,loss,epsilon
10000,17.32171058654785,0.905
11000,59.08488082885742,0.8955
12000,18.344741821289062,0.886
13000,15.926504135131836,0.8765000000000001
14000,15.52458381652832,0.867
15000,13.46629810333252,0.8575
16000,7.073251724243164,0.848
17000,7.217529296875,0.8385
18000,51.47264099121094,0.829
19000,33.08011245727539,0.8195
20000,5.9236297607421875,0.81
21000,33.52513885498047,0.8005
22000,45.69921875,0.791
23000,51.00063705444336,0.7815
24000,18.07836151123047,0.772
25000,10.999988555908203,0.7625
26000,13.446288108825684,0.753
27000,68.30494689941406,0.7435
28000,8.89760684967041,0.734
29000,22.36707305908203,0.7245
30000,50.00978469848633,0.7150000000000001
31000,5.283408164978027,0.7055
32000,2.3288962841033936,0.696
33000,13.761788368225098,0.6865
34000,2.765993595123291,0.677
35000,3.1868958473205566,0.6675
36000,39.20948028564453,0.658
37000,11.43080997467041,0.6485000000000001
38000,57.50951385498047,0.639
39000,13.542720794677734,0.6295
40000,9.203696250915527,0.62
41000,30.252239227294922,0.6105
42000,11.634625434875488,0.601
43000,6.702264785766602,0.5915
44000,22.266759872436523,0.5820000000000001
45000,5.508392810821533,0.5725
46000,38.048274993896484,0.563
47000,12.048466682434082,0.5535000000000001
48000,7.725123882293701,0.544
49000,4.433399200439453,0.5345
50000,20.205944061279297,0.525
51000,6.440240859985352,0.5155000000000001
52000,4.651599884033203,0.506
53000,9.019021034240723,0.49650000000000005
54000,4.684990882873535,0.487
55000,2.8458797931671143,0.47750000000000004
56000,18.96347427368164,0.46799999999999997
57000,6.501704216003418,0.4585
58000,8.555150985717773,0.44900000000000007
59000,3.4361166954040527,0.4395
60000,5.348568916320801,0.43000000000000005
61000,85.43958282470703,0.4205
62000,9.453620910644531,0.41100000000000003
63000,28.035877227783203,0.4015000000000001
64000,10.917957305908203,0.392
65000,13.261367797851562,0.38250000000000006
66000,6.537912845611572,0.373
67000,9.500653266906738,0.36350000000000005
68000,10.817237854003906,0.354
69000,17.419748306274414,0.34450000000000003
70000,13.146480560302734,0.3350000000000001
71000,33.94764709472656,0.3255
72000,11.475725173950195,0.31600000000000006
73000,4.7974090576171875,0.3065
74000,11.936544418334961,0.29700000000000004
75000,7.7608747482299805,0.2875000000000001
76000,5.296732425689697,0.278
77000,3.965473175048828,0.26850000000000007
78000,22.094745635986328,0.259
79000,10.369223594665527,0.24950000000000006
80000,3.3841261863708496,0.24
81000,9.747882843017578,0.23050000000000004
82000,3.133157968521118,0.22100000000000009
83000,4.865394592285156,0.21150000000000002
84000,6.628484725952148,0.20200000000000007
85000,5.333343505859375,0.1925
86000,12.7310791015625,0.18300000000000005
87000,10.169577598571777,0.1735
88000,9.246175765991211,0.16400000000000003
89000,4.350620269775391,0.15450000000000008
90000,5.569887161254883,0.14500000000000002
91000,19.73352813720703,0.13550000000000006
92000,4.221337795257568,0.126
93000,6.161684036254883,0.11650000000000005
94000,9.53624439239502,0.1070000000000001
95000,11.258146286010742,0.09750000000000003
96000,10.743927955627441,0.08800000000000008
97000,17.20334243774414,0.07850000000000001
98000,26.193605422973633,0.06900000000000006
99000,3.7926509380340576,0.0595
100000,5.427618503570557,0.050000000000000044
101000,8.582653045654297,0.050000000000000044
102000,63.62908935546875,0.050000000000000044
103000,3.9017598628997803,0.050000000000000044
104000,6.71135139465332,0.050000000000000044
105000,9.913780212402344,0.050000000000000044
106000,3.301024913787842,0.050000000000000044
107000,17.396677017211914,0.050000000000000044
108000,14.71499252319336,0.050000000000000044
109000,5.741064071655273,0.050000000000000044
110000,3.7747528553009033,0.050000000000000044
