global_step,event,episode_return,episode_length,alpha,hover_reward_value,replay_size,critic_loss,actor_loss,logp,alpha_loss
184,episode_end,-99.19147912226612,184,0.2,200.0,,,,,
279,episode_end,-300.2077773022404,95,0.2,200.0,,,,,
406,episode_end,-372.8562884563314,127,0.2,200.0,,,,,
505,episode_end,-276.9952590502358,99,0.2,200.0,,,,,
601,episode_end,-57.07588534475446,96,0.2,200.0,,,,,
700,episode_end,-130.81887312962422,99,0.2,200.0,,,,,
786,episode_end,9.140701724503117,86,0.2,200.0,,,,,
900,episode_end,-138.23278890728983,114,0.2,200.0,,,,,
1000,train_step,,,0.2,200.0,1000,,,,
1011,episode_end,-48.476679728455544,111,0.2,200.0,,,,,
1115,episode_end,-388.6483752609824,104,0.2,200.0,,,,,
1215,episode_end,-161.35234805727436,100,0.2,200.0,,,,,
1293,episode_end,-71.67934921221647,78,0.2,200.0,,,,,
1372,episode_end,-154.19452514011647,79,0.2,200.0,,,,,
1459,episode_end,-360.61308672223134,87,0.2,200.0,,,,,
1561,episode_end,-195.6292075096539,102,0.2,200.0,,,,,
1636,episode_end,-324.137336746738,75,0.2,200.0,,,,,
1727,episode_end,-534.8112033644509,91,0.2,200.0,,,,,
1823,episode_end,124.1074650419639,96,0.2,200.0,,,,,
1923,episode_end,-87.01093666578404,100,0.2,200.0,,,,,
2000,train_step,,,0.2,200.0,2000,,,,
2017,episode_end,-138.48410269748803,94,0.2,200.0,,,,,
2169,episode_end,-122.35980511278802,152,0.2,200.0,,,,,
2267,episode_end,135.6380814465118,98,0.2,200.0,,,,,
2373,episode_end,-266.6717060796192,106,0.2,200.0,,,,,
2494,episode_end,-171.2238347418974,121,0.2,200.0,,,,,
2598,episode_end,-244.9815036543219,104,0.2,200.0,,,,,
2718,episode_end,-197.6253542053904,120,0.2,200.0,,,,,
2811,episode_end,-212.13898010564554,93,0.2,200.0,,,,,
2910,episode_end,-320.6650230137185,99,0.2,200.0,,,,,
2989,episode_end,40.643936836191926,79,0.2,200.0,,,,,
3000,train_step,,,0.2,200.0,3000,,,,
3092,episode_end,-206.0936107546447,103,0.2,200.0,,,,,
3274,episode_end,-223.37294377002593,182,0.2,200.0,,,,,
