global_step,critic_loss,actor_loss,alpha,alpha_loss,entropy
10000,393.97869873046875,-0.22212937474250793,0.2,-0.042990658432245255,1.3852800130844116
11000,109.12918853759766,3.1291663646698,0.2763895212954586,1.3859572410583496,0.28079432249069214
12000,27.05265235900879,5.5938286781311035,0.37458857264628626,1.031614899635315,0.3079659342765808
13000,38.332435607910156,5.729250907897949,0.49981365607426276,0.6203511953353882,0.4640718698501587
14000,5.309540271759033,4.912773132324219,0.6546469903193053,0.31036829948425293,0.6259787678718567
15000,104.894287109375,3.435321807861328,0.8518618364718747,0.11040990054607391,0.6699308753013611
16000,168.57351684570312,2.745846748352051,1.0984539193432772,-0.05795999616384506,0.7413401007652283
17000,7.920318603515625,2.6723108291625977,1.4098280649920891,-0.1855900138616562,0.8182265758514404
18000,18.810060501098633,-5.912070274353027,1.7999493356678884,-0.23564337193965912,0.9576497673988342
19000,9.355534553527832,-14.648902893066406,2.282008462072407,-0.2551029324531555,1.0493736267089844
20000,11.958440780639648,-23.034496307373047,2.861917871454745,-0.2396770864725113,1.1306284666061401
21000,38.5404052734375,-36.84425354003906,3.575440042839525,-0.26072609424591064,1.1539310216903687
22000,20.2440128326416,-54.950958251953125,4.41170738106925,-0.24561548233032227,1.1930885314941406
23000,44.35896682739258,-80.71363830566406,5.4124745375072525,-0.18018576502799988,1.2518680095672607
24000,50.476505279541016,-103.86507415771484,6.642878966708682,-0.1427367925643921,1.2831876277923584
25000,32.287933349609375,-143.83433532714844,8.082421176831001,-0.11637859046459198,1.3028767108917236
26000,256.8205871582031,-193.85064697265625,9.758217034295743,-0.12353143095970154,1.3043429851531982
27000,384.0625915527344,-232.71261596679688,11.745867282665946,-0.08121338486671448,1.3256016969680786
28000,79.68025970458984,-304.30450439453125,13.987851923513466,-0.05625076964497566,1.3372466564178467
29000,374.49993896484375,-359.9745788574219,16.543037264287676,-0.032475631684064865,1.3469946384429932
30000,348.77471923828125,-449.9305419921875,19.669580586100523,-0.03487401455640793,1.3468620777130127
31000,858.1881103515625,-532.250732421875,22.911531989452193,-0.014098422601819038,1.3540664911270142
32000,568.0135498046875,-630.3046875,26.289470178512158,-0.017879776656627655,1.3530991077423096
33000,382.142822265625,-772.1259765625,30.361409148870102,-0.009373478591442108,1.3558220863342285
