timestep,seed,target_angle_deg,reward_scale,mode,manual_alpha,condition,episode_return,episode_length,alpha
1000,3,90.0,1.0,manual,0.01,manual_target_p090_alpha_0p01_scale_1,-4279.58194779345,1000,0.009999999776482582
2000,3,90.0,1.0,manual,0.01,manual_target_p090_alpha_0p01_scale_1,-1784.9064401308901,1000,0.009999999776482582
3000,3,90.0,1.0,manual,0.01,manual_target_p090_alpha_0p01_scale_1,-1675.6406117378153,1000,0.009999999776482582
4000,3,90.0,1.0,manual,0.01,manual_target_p090_alpha_0p01_scale_1,-1455.1603383460126,1000,0.009999999776482582
5000,3,90.0,1.0,manual,0.01,manual_target_p090_alpha_0p01_scale_1,-1441.9672203660336,1000,0.009999999776482582
6000,3,90.0,1.0,manual,0.01,manual_target_p090_alpha_0p01_scale_1,-1559.7690292879854,1000,0.009999999776482582
7000,3,90.0,1.0,manual,0.01,manual_target_p090_alpha_0p01_scale_1,-1450.712339020094,1000,0.009999999776482582
8000,3,90.0,1.0,manual,0.01,manual_target_p090_alpha_0p01_scale_1,-1478.3329006055583,1000,0.009999999776482582
9000,3,90.0,1.0,manual,0.01,manual_target_p090_alpha_0p01_scale_1,-1422.5961951403872,1000,0.009999999776482582
10000,3,90.0,1.0,manual,0.01,manual_target_p090_alpha_0p01_scale_1,-1380.0364337049004,1000,0.009999999776482582
11000,3,90.0,1.0,manual,0.01,manual_target_p090_alpha_0p01_scale_1,-1425.8625639561194,1000,0.009999999776482582
12000,3,90.0,1.0,manual,0.01,manual_target_p090_alpha_0p01_scale_1,-1399.5918461256435,1000,0.009999999776482582
13000,3,90.0,1.0,manual,0.01,manual_target_p090_alpha_0p01_scale_1,-1425.0659371813376,1000,0.009999999776482582
14000,3,90.0,1.0,manual,0.01,manual_target_p090_alpha_0p01_scale_1,-1416.4954389439056,1000,0.009999999776482582
15000,3,90.0,1.0,manual,0.01,manual_target_p090_alpha_0p01_scale_1,-1435.5227666185212,1000,0.009999999776482582
16000,3,90.0,1.0,manual,0.01,manual_target_p090_alpha_0p01_scale_1,-1453.4860265477937,1000,0.009999999776482582
17000,3,90.0,1.0,manual,0.01,manual_target_p090_alpha_0p01_scale_1,-1436.2118403684299,1000,0.009999999776482582
18000,3,90.0,1.0,manual,0.01,manual_target_p090_alpha_0p01_scale_1,-1475.750894351159,1000,0.009999999776482582
19000,3,90.0,1.0,manual,0.01,manual_target_p090_alpha_0p01_scale_1,-1394.2288600280276,1000,0.009999999776482582
20000,3,90.0,1.0,manual,0.01,manual_target_p090_alpha_0p01_scale_1,-1387.2490030647946,1000,0.009999999776482582
21000,3,90.0,1.0,manual,0.01,manual_target_p090_alpha_0p01_scale_1,-1469.3043363217935,1000,0.009999999776482582
22000,3,90.0,1.0,manual,0.01,manual_target_p090_alpha_0p01_scale_1,-1455.1207869680363,1000,0.009999999776482582
23000,3,90.0,1.0,manual,0.01,manual_target_p090_alpha_0p01_scale_1,-1374.5053878971974,1000,0.009999999776482582
24000,3,90.0,1.0,manual,0.01,manual_target_p090_alpha_0p01_scale_1,-1368.4266105062343,1000,0.009999999776482582
25000,3,90.0,1.0,manual,0.01,manual_target_p090_alpha_0p01_scale_1,-1362.316600290292,1000,0.009999999776482582
26000,3,90.0,1.0,manual,0.01,manual_target_p090_alpha_0p01_scale_1,-1381.2223744802134,1000,0.009999999776482582
27000,3,90.0,1.0,manual,0.01,manual_target_p090_alpha_0p01_scale_1,-1376.345897092731,1000,0.009999999776482582
28000,3,90.0,1.0,manual,0.01,manual_target_p090_alpha_0p01_scale_1,-1417.7840941877323,1000,0.009999999776482582
29000,3,90.0,1.0,manual,0.01,manual_target_p090_alpha_0p01_scale_1,-1429.1461624581282,1000,0.009999999776482582
30000,3,90.0,1.0,manual,0.01,manual_target_p090_alpha_0p01_scale_1,-1484.9435900484634,1000,0.009999999776482582
31000,3,90.0,1.0,manual,0.01,manual_target_p090_alpha_0p01_scale_1,-1366.9789379797978,1000,0.009999999776482582
32000,3,90.0,1.0,manual,0.01,manual_target_p090_alpha_0p01_scale_1,-1364.946613614752,1000,0.009999999776482582
33000,3,90.0,1.0,manual,0.01,manual_target_p090_alpha_0p01_scale_1,-1366.1717345272345,1000,0.009999999776482582
34000,3,90.0,1.0,manual,0.01,manual_target_p090_alpha_0p01_scale_1,-1362.7425099990398,1000,0.009999999776482582
35000,3,90.0,1.0,manual,0.01,manual_target_p090_alpha_0p01_scale_1,-1407.380306232643,1000,0.009999999776482582
36000,3,90.0,1.0,manual,0.01,manual_target_p090_alpha_0p01_scale_1,-1443.840354250399,1000,0.009999999776482582
37000,3,90.0,1.0,manual,0.01,manual_target_p090_alpha_0p01_scale_1,-1494.094006678261,1000,0.009999999776482582
38000,3,90.0,1.0,manual,0.01,manual_target_p090_alpha_0p01_scale_1,-1474.5607235271768,1000,0.009999999776482582
39000,3,90.0,1.0,manual,0.01,manual_target_p090_alpha_0p01_scale_1,-1376.9968094893736,1000,0.009999999776482582
40000,3,90.0,1.0,manual,0.01,manual_target_p090_alpha_0p01_scale_1,-1398.9278393665932,1000,0.009999999776482582
41000,3,90.0,1.0,manual,0.01,manual_target_p090_alpha_0p01_scale_1,-1380.2208695013956,1000,0.009999999776482582
42000,3,90.0,1.0,manual,0.01,manual_target_p090_alpha_0p01_scale_1,-1509.9687229004755,1000,0.009999999776482582
43000,3,90.0,1.0,manual,0.01,manual_target_p090_alpha_0p01_scale_1,-1431.3715776850681,1000,0.009999999776482582
44000,3,90.0,1.0,manual,0.01,manual_target_p090_alpha_0p01_scale_1,-1395.7846663350651,1000,0.009999999776482582
45000,3,90.0,1.0,manual,0.01,manual_target_p090_alpha_0p01_scale_1,-1440.2299228133538,1000,0.009999999776482582
46000,3,90.0,1.0,manual,0.01,manual_target_p090_alpha_0p01_scale_1,-1377.4177288099945,1000,0.009999999776482582
47000,3,90.0,1.0,manual,0.01,manual_target_p090_alpha_0p01_scale_1,-1431.343026606962,1000,0.009999999776482582
48000,3,90.0,1.0,manual,0.01,manual_target_p090_alpha_0p01_scale_1,-1371.4693353874134,1000,0.009999999776482582
49000,3,90.0,1.0,manual,0.01,manual_target_p090_alpha_0p01_scale_1,-1360.5668789469394,1000,0.009999999776482582
50000,3,90.0,1.0,manual,0.01,manual_target_p090_alpha_0p01_scale_1,-1478.5275767754497,1000,0.009999999776482582
51000,3,90.0,1.0,manual,0.01,manual_target_p090_alpha_0p01_scale_1,-1474.712599654954,1000,0.009999999776482582
52000,3,90.0,1.0,manual,0.01,manual_target_p090_alpha_0p01_scale_1,-1500.1229163590274,1000,0.009999999776482582
53000,3,90.0,1.0,manual,0.01,manual_target_p090_alpha_0p01_scale_1,-1382.127440402115,1000,0.009999999776482582
54000,3,90.0,1.0,manual,0.01,manual_target_p090_alpha_0p01_scale_1,-1432.7558920571014,1000,0.009999999776482582
55000,3,90.0,1.0,manual,0.01,manual_target_p090_alpha_0p01_scale_1,-1442.1176241877224,1000,0.009999999776482582
56000,3,90.0,1.0,manual,0.01,manual_target_p090_alpha_0p01_scale_1,-1391.3324945870893,1000,0.009999999776482582
