# cmd: /home/shriprasad/miniconda3/envs/pa3/bin/python run_experiment.py --kind hover --seed 0 --mode auto --steps-pre 300000 --steps-post 300000 --eval-every 10000
# cwd: /research/assignments/RL/RL-PA3/2.2
# threads_per_worker: 4

RUN  hover_auto seed=0
[step       0] eval_return=-268.12 hover_hits=0.05
[step   10000] eval_return=-263.47 hover_hits=0.05
[step   20000] eval_return=13.51 hover_hits=0.25
[step   30000] eval_return=120.89 hover_hits=0.10
[step   40000] eval_return=268.19 hover_hits=0.25
[step   50000] eval_return=226.04 hover_hits=0.45
[step   60000] eval_return=283.12 hover_hits=0.30
[step   70000] eval_return=330.57 hover_hits=0.60
[step   80000] eval_return=339.76 hover_hits=0.75
[step   90000] eval_return=199.52 hover_hits=0.75
[step  100000] eval_return=374.93 hover_hits=0.75
[step  110000] eval_return=424.79 hover_hits=0.90
[step  120000] eval_return=423.05 hover_hits=1.00
[step  130000] eval_return=341.19 hover_hits=0.65
[step  140000] eval_return=410.36 hover_hits=0.95
[step  150000] eval_return=402.81 hover_hits=0.90
[step  160000] eval_return=380.26 hover_hits=1.00
[step  170000] eval_return=452.71 hover_hits=1.00
[step  180000] eval_return=471.12 hover_hits=1.00
[step  190000] eval_return=475.52 hover_hits=1.00
[step  200000] eval_return=470.36 hover_hits=1.00
[step  210000] eval_return=440.85 hover_hits=1.00
[step  220000] eval_return=473.72 hover_hits=1.00
[step  230000] eval_return=454.92 hover_hits=1.00
[step  240000] eval_return=429.44 hover_hits=1.00
[step  250000] eval_return=472.21 hover_hits=1.00
[step  260000] eval_return=418.73 hover_hits=0.90
[step  270000] eval_return=418.37 hover_hits=0.90
[step  280000] eval_return=453.82 hover_hits=0.95
[step  290000] eval_return=414.17 hover_hits=1.00
[step  300000] eval_return=480.65 hover_hits=1.00
[step  310000] eval_return=172.73 hover_hits=1.00
[step  320000] eval_return=177.64 hover_hits=1.00
[step  330000] eval_return=169.08 hover_hits=0.90
[step  340000] eval_return=180.44 hover_hits=0.95
[step  350000] eval_return=171.38 hover_hits=1.00
[step  360000] eval_return=154.46 hover_hits=1.00
[step  370000] eval_return=92.75 hover_hits=0.60
[step  380000] eval_return=125.98 hover_hits=0.85
[step  390000] eval_return=174.38 hover_hits=0.95
[step  400000] eval_return=104.62 hover_hits=0.50
[step  410000] eval_return=129.77 hover_hits=0.85
[step  420000] eval_return=5.25 hover_hits=0.35
[step  430000] eval_return=122.19 hover_hits=0.45
[step  440000] eval_return=210.67 hover_hits=0.10
[step  450000] eval_return=102.61 hover_hits=0.15
[step  460000] eval_return=240.97 hover_hits=0.15
[step  470000] eval_return=85.78 hover_hits=0.10
[step  480000] eval_return=229.43 hover_hits=0.05
[step  490000] eval_return=248.63 hover_hits=0.10
[step  500000] eval_return=263.64 hover_hits=0.10
[step  510000] eval_return=187.10 hover_hits=0.15
[step  520000] eval_return=206.87 hover_hits=0.05
[step  530000] eval_return=241.94 hover_hits=0.20
[step  540000] eval_return=198.31 hover_hits=0.25
[step  550000] eval_return=246.59 hover_hits=0.05
[step  560000] eval_return=263.41 hover_hits=0.10
[step  570000] eval_return=261.47 hover_hits=0.00
[step  580000] eval_return=264.87 hover_hits=0.05
[step  590000] eval_return=265.56 hover_hits=0.15
[step  600000] eval_return=274.35 hover_hits=0.05
DONE hover_auto seed=0
