timestep,seed,target_angle_deg,reward_scale,mode,manual_alpha,condition,episode_return,episode_length,alpha
1000,13,120.0,1.0,auto,,auto_target_p120_scale_1,-1381.1801645422524,1000,0.17199674248695374
2000,13,120.0,1.0,auto,,auto_target_p120_scale_1,-771.6184367855147,1000,0.1323026865720749
3000,13,120.0,1.0,auto,,auto_target_p120_scale_1,-609.2819765343803,1000,0.10914847254753113
4000,13,120.0,1.0,auto,,auto_target_p120_scale_1,-499.73214474409355,1000,0.09219047427177429
5000,13,120.0,1.0,auto,,auto_target_p120_scale_1,-613.356829190305,1000,0.07588926702737808
6000,13,120.0,1.0,auto,,auto_target_p120_scale_1,-502.55774560815433,1000,0.05962349846959114
7000,13,120.0,1.0,auto,,auto_target_p120_scale_1,-601.4057964863862,1000,0.04598813131451607
8000,13,120.0,1.0,auto,,auto_target_p120_scale_1,-556.0948803109183,1000,0.03709689900279045
9000,13,120.0,1.0,auto,,auto_target_p120_scale_1,-630.9740838613689,1000,0.03440720960497856
10000,13,120.0,1.0,auto,,auto_target_p120_scale_1,-491.2327703166869,1000,0.03722774609923363
11000,13,120.0,1.0,auto,,auto_target_p120_scale_1,-640.20788257926,1000,0.041962604969739914
12000,13,120.0,1.0,auto,,auto_target_p120_scale_1,-519.8687930737958,1000,0.04525873437523842
13000,13,120.0,1.0,auto,,auto_target_p120_scale_1,-460.14949648308635,1000,0.04401461407542229
14000,13,120.0,1.0,auto,,auto_target_p120_scale_1,-472.1759479858394,1000,0.04047941789031029
15000,13,120.0,1.0,auto,,auto_target_p120_scale_1,-453.24146392635083,1000,0.03843752294778824
16000,13,120.0,1.0,auto,,auto_target_p120_scale_1,-523.5487922144712,1000,0.03870200365781784
17000,13,120.0,1.0,auto,,auto_target_p120_scale_1,-579.8293723495304,1000,0.04066501557826996
18000,13,120.0,1.0,auto,,auto_target_p120_scale_1,-478.38263686099964,1000,0.0437118299305439
19000,13,120.0,1.0,auto,,auto_target_p120_scale_1,-454.45950877184896,1000,0.045019593089818954
20000,13,120.0,1.0,auto,,auto_target_p120_scale_1,-453.90337667304345,1000,0.04460541531443596
21000,13,120.0,1.0,auto,,auto_target_p120_scale_1,-475.66566501812326,1000,0.04330093786120415
22000,13,120.0,1.0,auto,,auto_target_p120_scale_1,-530.7023796998859,1000,0.04129542410373688
23000,13,120.0,1.0,auto,,auto_target_p120_scale_1,-453.7952605656837,1000,0.041126739233732224
24000,13,120.0,1.0,auto,,auto_target_p120_scale_1,-607.1747774357419,1000,0.041625529527664185
25000,13,120.0,1.0,auto,,auto_target_p120_scale_1,-551.0650964566436,1000,0.04261646047234535
26000,13,120.0,1.0,auto,,auto_target_p120_scale_1,-461.7848851945087,1000,0.043193262070417404
27000,13,120.0,1.0,auto,,auto_target_p120_scale_1,-460.2807760143329,1000,0.04330823943018913
28000,13,120.0,1.0,auto,,auto_target_p120_scale_1,-552.1465282121545,1000,0.04278576374053955
29000,13,120.0,1.0,auto,,auto_target_p120_scale_1,-463.64016300610825,1000,0.042199209332466125
30000,13,120.0,1.0,auto,,auto_target_p120_scale_1,-465.92939887601034,1000,0.04138423502445221
31000,13,120.0,1.0,auto,,auto_target_p120_scale_1,-459.7094431050528,1000,0.04137714207172394
32000,13,120.0,1.0,auto,,auto_target_p120_scale_1,-472.93818591211385,1000,0.0421324260532856
33000,13,120.0,1.0,auto,,auto_target_p120_scale_1,-520.2371122417173,1000,0.04262663051486015
34000,13,120.0,1.0,auto,,auto_target_p120_scale_1,-525.1973590836409,1000,0.04334235563874245
35000,13,120.0,1.0,auto,,auto_target_p120_scale_1,-491.7483058079768,1000,0.04291071370244026
36000,13,120.0,1.0,auto,,auto_target_p120_scale_1,-462.02314520163833,1000,0.04290525242686272
37000,13,120.0,1.0,auto,,auto_target_p120_scale_1,-450.74696811447046,1000,0.04183381423354149
38000,13,120.0,1.0,auto,,auto_target_p120_scale_1,-605.5054726434576,1000,0.04207068309187889
39000,13,120.0,1.0,auto,,auto_target_p120_scale_1,-538.7981169617585,1000,0.04189523681998253
40000,13,120.0,1.0,auto,,auto_target_p120_scale_1,-512.6116891655123,1000,0.04247240349650383
