global_step,event,episode_return,episode_length,alpha,hover_reward_value,replay_size,critic_loss,actor_loss,logp,alpha_loss
9840,episode_end,-562.0033839912874,145,0.2,200.0,,,,,
9927,episode_end,-90.10569944788227,87,0.2,200.0,,,,,
10000,episode_end,-101.63225903307463,73,0.2,200.0,,,,,
10000,train_step,,,0.2,200.0,10000,19.603374481201172,-0.10471230745315552,-1.3164279460906982,-5.337584972381592
10118,episode_end,-330.3254693634203,118,0.193225851952535,200.0,,,,,
10217,episode_end,-205.9843794054022,99,0.18822018009606617,200.0,,,,,
10321,episode_end,-44.45763390415672,104,0.18363453779862363,200.0,,,,,
10686,episode_end,98.16514710893361,365,0.16897195616147803,200.0,,,,,
10913,episode_end,-260.65458623016093,227,0.16094760025725618,200.0,,,,,
11000,train_step,,,0.15806180263025535,200.0,11000,90.75065612792969,6.438488960266113,0.7020222544670105,-2.3944692611694336
11149,episode_end,58.51681161045087,236,0.15331315780159985,200.0,,,,,
11348,episode_end,167.61144305029632,199,0.14742535547368257,200.0,,,,,
11658,episode_end,-202.91487754724596,310,0.13897644426002762,200.0,,,,,
11809,episode_end,-29.275892229897977,151,0.13546983056034687,200.0,,,,,
11985,episode_end,-84.51269924468295,176,0.1315412509393717,200.0,,,,,
12000,train_step,,,0.1312345876053729,200.0,12000,71.74375915527344,4.275051593780518,1.2993521690368652,-1.422853946685791
12419,episode_end,-340.97341251985443,434,0.12213786555910269,200.0,,,,,
12620,episode_end,-268.4687885722133,201,0.1184862893860598,200.0,,,,,
12916,episode_end,-316.6515624310026,296,0.11399472900096805,200.0,,,,,
13000,train_step,,,0.11247679135548198,200.0,13000,115.33024597167969,5.9193115234375,1.9581010341644287,-0.09154960513114929
13408,episode_end,-233.53336755135965,492,0.10755754816127656,200.0,,,,,
13478,episode_end,-331.79907134796804,70,0.10708766180718843,200.0,,,,,
13639,episode_end,-232.0126882846796,161,0.10698035125601248,200.0,,,,,
13870,episode_end,-211.36457436423774,231,0.10848237596797618,200.0,,,,,
13990,episode_end,26.269262909734607,120,0.109382204897043,200.0,,,,,
14000,train_step,,,0.10935841542752436,200.0,14000,13.920952796936035,4.647873878479004,2.01839542388916,0.040711045265197754
14254,episode_end,-270.7865662307337,264,0.11126171782471148,200.0,,,,,
14814,episode_end,-440.08735892765765,560,0.11704217528459136,200.0,,,,,
15000,train_step,,,0.12036676056194999,200.0,15000,20.499643325805664,0.573996901512146,1.7447097301483154,-0.5405035018920898
15204,episode_end,-250.92697795018563,390,0.12084159460773818,200.0,,,,,
16000,train_step,,,0.12949948518568105,200.0,16000,304.8600769042969,3.3698339462280273,2.1237564086914062,0.25296786427497864
16204,episode_end,-101.45510683925356,1000,0.13186943734963552,200.0,,,,,
17000,train_step,,,0.14176397943867028,200.0,17000,44.022216796875,7.731740474700928,2.2282323837280273,0.44587311148643494
17204,episode_end,-11.865990756850287,1000,0.14455164712714683,200.0,,,,,
17361,episode_end,170.90810672279014,157,0.14542316600924238,200.0,,,,,
17505,episode_end,26.315089328237477,144,0.14704975938909784,200.0,,,,,
17763,episode_end,-3.0460203910252517,258,0.1497180953106358,200.0,,,,,
17866,episode_end,5.94307766082737,103,0.1514826310595104,200.0,,,,,
18000,train_step,,,0.1544468291515538,200.0,18000,46.546390533447266,-1.3608410358428955,2.263125419616699,0.49149274826049805
18193,episode_end,-28.753847716188233,327,0.16135638148624784,200.0,,,,,
19000,train_step,,,0.16890809783352656,200.0,19000,415.5174560546875,-1.4810781478881836,1.824002742767334,-0.3129936158657074
19193,episode_end,5.572593059085522,1000,0.1733840469176374,200.0,,,,,
20000,train_step,,,0.18648583758084725,200.0,20000,89.23390197753906,6.376401424407959,1.7549147605895996,-0.4115961194038391
20193,episode_end,154.82359094918,1000,0.18701034626141558,200.0,,,,,
20264,episode_end,-46.494884018214584,71,0.1870618828674561,200.0,,,,,
20689,episode_end,-256.13822630698695,425,0.18176825221016285,200.0,,,,,
20756,episode_end,6.606277731787188,67,0.18215914787656348,200.0,,,,,
20853,episode_end,-31.817638487854225,97,0.18314236099039866,200.0,,,,,
20961,episode_end,193.85296787003654,108,0.18230679368393543,200.0,,,,,
21000,train_step,,,0.1813289971203308,200.0,21000,22.67393684387207,-4.4667439460754395,1.9411484003067017,-0.10048563033342361
21080,episode_end,2.829971821068412,119,0.1805609778096741,200.0,,,,,
21176,episode_end,-1.0263598282660524,96,0.17818690889586886,200.0,,,,,
21310,episode_end,14.868451471635339,134,0.17926490025236916,200.0,,,,,
