timestep,seed,target_angle_deg,reward_scale,mode,manual_alpha,condition,episode_return,episode_length,alpha
1000,10,90.0,1.0,manual,0.01,manual_target_p090_alpha_0p01_scale_1,-2461.295114916686,1000,0.009999999776482582
2000,10,90.0,1.0,manual,0.01,manual_target_p090_alpha_0p01_scale_1,-1532.8538813072826,1000,0.009999999776482582
3000,10,90.0,1.0,manual,0.01,manual_target_p090_alpha_0p01_scale_1,-1491.6616667936776,1000,0.009999999776482582
4000,10,90.0,1.0,manual,0.01,manual_target_p090_alpha_0p01_scale_1,-1432.6423234611705,1000,0.009999999776482582
5000,10,90.0,1.0,manual,0.01,manual_target_p090_alpha_0p01_scale_1,-1467.2749547568085,1000,0.009999999776482582
6000,10,90.0,1.0,manual,0.01,manual_target_p090_alpha_0p01_scale_1,-1519.1379152922232,1000,0.009999999776482582
7000,10,90.0,1.0,manual,0.01,manual_target_p090_alpha_0p01_scale_1,-1524.292411323391,1000,0.009999999776482582
8000,10,90.0,1.0,manual,0.01,manual_target_p090_alpha_0p01_scale_1,-1422.123113972356,1000,0.009999999776482582
9000,10,90.0,1.0,manual,0.01,manual_target_p090_alpha_0p01_scale_1,-1375.0989123065037,1000,0.009999999776482582
10000,10,90.0,1.0,manual,0.01,manual_target_p090_alpha_0p01_scale_1,-1466.7789563369975,1000,0.009999999776482582
11000,10,90.0,1.0,manual,0.01,manual_target_p090_alpha_0p01_scale_1,-1392.8191087694513,1000,0.009999999776482582
12000,10,90.0,1.0,manual,0.01,manual_target_p090_alpha_0p01_scale_1,-1434.5963264882919,1000,0.009999999776482582
13000,10,90.0,1.0,manual,0.01,manual_target_p090_alpha_0p01_scale_1,-1444.0253586502602,1000,0.009999999776482582
14000,10,90.0,1.0,manual,0.01,manual_target_p090_alpha_0p01_scale_1,-1491.6794620900498,1000,0.009999999776482582
15000,10,90.0,1.0,manual,0.01,manual_target_p090_alpha_0p01_scale_1,-1431.5812897397639,1000,0.009999999776482582
16000,10,90.0,1.0,manual,0.01,manual_target_p090_alpha_0p01_scale_1,-1437.7804319582426,1000,0.009999999776482582
17000,10,90.0,1.0,manual,0.01,manual_target_p090_alpha_0p01_scale_1,-1392.0899146935983,1000,0.009999999776482582
18000,10,90.0,1.0,manual,0.01,manual_target_p090_alpha_0p01_scale_1,-1431.982202316896,1000,0.009999999776482582
19000,10,90.0,1.0,manual,0.01,manual_target_p090_alpha_0p01_scale_1,-1448.7432695394232,1000,0.009999999776482582
20000,10,90.0,1.0,manual,0.01,manual_target_p090_alpha_0p01_scale_1,-1392.3864624592316,1000,0.009999999776482582
21000,10,90.0,1.0,manual,0.01,manual_target_p090_alpha_0p01_scale_1,-1412.8557908934995,1000,0.009999999776482582
22000,10,90.0,1.0,manual,0.01,manual_target_p090_alpha_0p01_scale_1,-1366.3642893537467,1000,0.009999999776482582
