timestep,seed,target_angle_deg,reward_scale,mode,manual_alpha,condition,episode_return,episode_length,alpha
1000,11,-60.0,1.0,manual,0.03,manual_target_m060_alpha_0p03_scale_1,-5524.959038707048,1000,0.029999999329447746
2000,11,-60.0,1.0,manual,0.03,manual_target_m060_alpha_0p03_scale_1,-4062.0223890233765,1000,0.029999999329447746
3000,11,-60.0,1.0,manual,0.03,manual_target_m060_alpha_0p03_scale_1,-3627.896462813882,1000,0.029999999329447746
4000,11,-60.0,1.0,manual,0.03,manual_target_m060_alpha_0p03_scale_1,-3170.8856695705526,1000,0.029999999329447746
5000,11,-60.0,1.0,manual,0.03,manual_target_m060_alpha_0p03_scale_1,-2896.9718091331397,1000,0.029999999329447746
6000,11,-60.0,1.0,manual,0.03,manual_target_m060_alpha_0p03_scale_1,-4847.0068759411115,1000,0.029999999329447746
7000,11,-60.0,1.0,manual,0.03,manual_target_m060_alpha_0p03_scale_1,-3163.401620119209,1000,0.029999999329447746
8000,11,-60.0,1.0,manual,0.03,manual_target_m060_alpha_0p03_scale_1,-3000.7508525147896,1000,0.029999999329447746
9000,11,-60.0,1.0,manual,0.03,manual_target_m060_alpha_0p03_scale_1,-2925.923179914502,1000,0.029999999329447746
10000,11,-60.0,1.0,manual,0.03,manual_target_m060_alpha_0p03_scale_1,-2945.7508574356116,1000,0.029999999329447746
11000,11,-60.0,1.0,manual,0.03,manual_target_m060_alpha_0p03_scale_1,-2889.2801367532343,1000,0.029999999329447746
12000,11,-60.0,1.0,manual,0.03,manual_target_m060_alpha_0p03_scale_1,-2878.1645591464116,1000,0.029999999329447746
13000,11,-60.0,1.0,manual,0.03,manual_target_m060_alpha_0p03_scale_1,-2881.443318268441,1000,0.029999999329447746
14000,11,-60.0,1.0,manual,0.03,manual_target_m060_alpha_0p03_scale_1,-2902.3759911012285,1000,0.029999999329447746
15000,11,-60.0,1.0,manual,0.03,manual_target_m060_alpha_0p03_scale_1,-2959.407875963453,1000,0.029999999329447746
16000,11,-60.0,1.0,manual,0.03,manual_target_m060_alpha_0p03_scale_1,-2879.414478188765,1000,0.029999999329447746
17000,11,-60.0,1.0,manual,0.03,manual_target_m060_alpha_0p03_scale_1,-2956.858518830542,1000,0.029999999329447746
18000,11,-60.0,1.0,manual,0.03,manual_target_m060_alpha_0p03_scale_1,-2896.153478914938,1000,0.029999999329447746
19000,11,-60.0,1.0,manual,0.03,manual_target_m060_alpha_0p03_scale_1,-2869.98067876562,1000,0.029999999329447746
20000,11,-60.0,1.0,manual,0.03,manual_target_m060_alpha_0p03_scale_1,-2896.2422644723442,1000,0.029999999329447746
21000,11,-60.0,1.0,manual,0.03,manual_target_m060_alpha_0p03_scale_1,-2875.744109753373,1000,0.029999999329447746
22000,11,-60.0,1.0,manual,0.03,manual_target_m060_alpha_0p03_scale_1,-2935.7464072509806,1000,0.029999999329447746
23000,11,-60.0,1.0,manual,0.03,manual_target_m060_alpha_0p03_scale_1,-2956.0414458596697,1000,0.029999999329447746
24000,11,-60.0,1.0,manual,0.03,manual_target_m060_alpha_0p03_scale_1,-2937.9809080428477,1000,0.029999999329447746
25000,11,-60.0,1.0,manual,0.03,manual_target_m060_alpha_0p03_scale_1,-2939.220143521382,1000,0.029999999329447746
26000,11,-60.0,1.0,manual,0.03,manual_target_m060_alpha_0p03_scale_1,-2880.4387005501676,1000,0.029999999329447746
27000,11,-60.0,1.0,manual,0.03,manual_target_m060_alpha_0p03_scale_1,-2921.4075562008643,1000,0.029999999329447746
28000,11,-60.0,1.0,manual,0.03,manual_target_m060_alpha_0p03_scale_1,-2938.8946816435896,1000,0.029999999329447746
29000,11,-60.0,1.0,manual,0.03,manual_target_m060_alpha_0p03_scale_1,-2938.690179830881,1000,0.029999999329447746
30000,11,-60.0,1.0,manual,0.03,manual_target_m060_alpha_0p03_scale_1,-2938.976355343708,1000,0.029999999329447746
31000,11,-60.0,1.0,manual,0.03,manual_target_m060_alpha_0p03_scale_1,-2919.7166211726953,1000,0.029999999329447746
32000,11,-60.0,1.0,manual,0.03,manual_target_m060_alpha_0p03_scale_1,-2952.5551896278134,1000,0.029999999329447746
33000,11,-60.0,1.0,manual,0.03,manual_target_m060_alpha_0p03_scale_1,-2956.072576898361,1000,0.029999999329447746
34000,11,-60.0,1.0,manual,0.03,manual_target_m060_alpha_0p03_scale_1,-2929.38312247115,1000,0.029999999329447746
35000,11,-60.0,1.0,manual,0.03,manual_target_m060_alpha_0p03_scale_1,-2945.742509091396,1000,0.029999999329447746
36000,11,-60.0,1.0,manual,0.03,manual_target_m060_alpha_0p03_scale_1,-2910.5536980705956,1000,0.029999999329447746
37000,11,-60.0,1.0,manual,0.03,manual_target_m060_alpha_0p03_scale_1,-2936.043485890938,1000,0.029999999329447746
38000,11,-60.0,1.0,manual,0.03,manual_target_m060_alpha_0p03_scale_1,-2934.081623775514,1000,0.029999999329447746
39000,11,-60.0,1.0,manual,0.03,manual_target_m060_alpha_0p03_scale_1,-2879.0703939127775,1000,0.029999999329447746
40000,11,-60.0,1.0,manual,0.03,manual_target_m060_alpha_0p03_scale_1,-2890.2179394397967,1000,0.029999999329447746
41000,11,-60.0,1.0,manual,0.03,manual_target_m060_alpha_0p03_scale_1,-2910.6381740397687,1000,0.029999999329447746
42000,11,-60.0,1.0,manual,0.03,manual_target_m060_alpha_0p03_scale_1,-2936.7673159964666,1000,0.029999999329447746
43000,11,-60.0,1.0,manual,0.03,manual_target_m060_alpha_0p03_scale_1,-2900.865348395214,1000,0.029999999329447746
44000,11,-60.0,1.0,manual,0.03,manual_target_m060_alpha_0p03_scale_1,-2937.4259326617234,1000,0.029999999329447746
