timestep,seed,target_angle_deg,reward_scale,mode,manual_alpha,condition,episode_return,episode_length,alpha
1000,7,-60.0,1.0,manual,0.03,manual_target_m060_alpha_0p03_scale_1,-4955.9324460420985,1000,0.029999999329447746
2000,7,-60.0,1.0,manual,0.03,manual_target_m060_alpha_0p03_scale_1,-4221.6799404261565,1000,0.029999999329447746
3000,7,-60.0,1.0,manual,0.03,manual_target_m060_alpha_0p03_scale_1,-3250.827445408518,1000,0.029999999329447746
4000,7,-60.0,1.0,manual,0.03,manual_target_m060_alpha_0p03_scale_1,-3003.073859914298,1000,0.029999999329447746
5000,7,-60.0,1.0,manual,0.03,manual_target_m060_alpha_0p03_scale_1,-644.2467562331899,1000,0.029999999329447746
6000,7,-60.0,1.0,manual,0.03,manual_target_m060_alpha_0p03_scale_1,-2944.6370686188056,1000,0.029999999329447746
7000,7,-60.0,1.0,manual,0.03,manual_target_m060_alpha_0p03_scale_1,-943.3842832537019,1000,0.029999999329447746
8000,7,-60.0,1.0,manual,0.03,manual_target_m060_alpha_0p03_scale_1,-2894.9672725944283,1000,0.029999999329447746
9000,7,-60.0,1.0,manual,0.03,manual_target_m060_alpha_0p03_scale_1,-5247.914335108776,1000,0.029999999329447746
10000,7,-60.0,1.0,manual,0.03,manual_target_m060_alpha_0p03_scale_1,-978.4169837965796,1000,0.029999999329447746
11000,7,-60.0,1.0,manual,0.03,manual_target_m060_alpha_0p03_scale_1,-969.2035291186639,1000,0.029999999329447746
12000,7,-60.0,1.0,manual,0.03,manual_target_m060_alpha_0p03_scale_1,-2883.8307394839408,1000,0.029999999329447746
13000,7,-60.0,1.0,manual,0.03,manual_target_m060_alpha_0p03_scale_1,-848.391768230643,1000,0.029999999329447746
14000,7,-60.0,1.0,manual,0.03,manual_target_m060_alpha_0p03_scale_1,-844.8444656513117,1000,0.029999999329447746
15000,7,-60.0,1.0,manual,0.03,manual_target_m060_alpha_0p03_scale_1,-822.052643701838,1000,0.029999999329447746
16000,7,-60.0,1.0,manual,0.03,manual_target_m060_alpha_0p03_scale_1,-764.7498802093403,1000,0.029999999329447746
17000,7,-60.0,1.0,manual,0.03,manual_target_m060_alpha_0p03_scale_1,-2870.8460642334626,1000,0.029999999329447746
18000,7,-60.0,1.0,manual,0.03,manual_target_m060_alpha_0p03_scale_1,-770.9750436245131,1000,0.029999999329447746
19000,7,-60.0,1.0,manual,0.03,manual_target_m060_alpha_0p03_scale_1,-663.1247347528657,1000,0.029999999329447746
20000,7,-60.0,1.0,manual,0.03,manual_target_m060_alpha_0p03_scale_1,-645.4039913414775,1000,0.029999999329447746
21000,7,-60.0,1.0,manual,0.03,manual_target_m060_alpha_0p03_scale_1,-615.8940408815853,1000,0.029999999329447746
22000,7,-60.0,1.0,manual,0.03,manual_target_m060_alpha_0p03_scale_1,-635.127724822251,1000,0.029999999329447746
23000,7,-60.0,1.0,manual,0.03,manual_target_m060_alpha_0p03_scale_1,-517.4981348636605,1000,0.029999999329447746
24000,7,-60.0,1.0,manual,0.03,manual_target_m060_alpha_0p03_scale_1,-2888.767075529981,1000,0.029999999329447746
25000,7,-60.0,1.0,manual,0.03,manual_target_m060_alpha_0p03_scale_1,-538.6493446782175,1000,0.029999999329447746
26000,7,-60.0,1.0,manual,0.03,manual_target_m060_alpha_0p03_scale_1,-528.839396671434,1000,0.029999999329447746
27000,7,-60.0,1.0,manual,0.03,manual_target_m060_alpha_0p03_scale_1,-615.6484943818039,1000,0.029999999329447746
28000,7,-60.0,1.0,manual,0.03,manual_target_m060_alpha_0p03_scale_1,-608.2294942477922,1000,0.029999999329447746
29000,7,-60.0,1.0,manual,0.03,manual_target_m060_alpha_0p03_scale_1,-696.4792529976875,1000,0.029999999329447746
30000,7,-60.0,1.0,manual,0.03,manual_target_m060_alpha_0p03_scale_1,-705.2618460087596,1000,0.029999999329447746
31000,7,-60.0,1.0,manual,0.03,manual_target_m060_alpha_0p03_scale_1,-621.1282232575088,1000,0.029999999329447746
32000,7,-60.0,1.0,manual,0.03,manual_target_m060_alpha_0p03_scale_1,-623.740520067231,1000,0.029999999329447746
33000,7,-60.0,1.0,manual,0.03,manual_target_m060_alpha_0p03_scale_1,-514.7416859292327,1000,0.029999999329447746
34000,7,-60.0,1.0,manual,0.03,manual_target_m060_alpha_0p03_scale_1,-610.887155496513,1000,0.029999999329447746
35000,7,-60.0,1.0,manual,0.03,manual_target_m060_alpha_0p03_scale_1,-751.9260047698313,1000,0.029999999329447746
36000,7,-60.0,1.0,manual,0.03,manual_target_m060_alpha_0p03_scale_1,-720.3285044649053,1000,0.029999999329447746
37000,7,-60.0,1.0,manual,0.03,manual_target_m060_alpha_0p03_scale_1,-714.1171117365228,1000,0.029999999329447746
38000,7,-60.0,1.0,manual,0.03,manual_target_m060_alpha_0p03_scale_1,-761.4739431019807,1000,0.029999999329447746
39000,7,-60.0,1.0,manual,0.03,manual_target_m060_alpha_0p03_scale_1,-628.5609664684937,1000,0.029999999329447746
40000,7,-60.0,1.0,manual,0.03,manual_target_m060_alpha_0p03_scale_1,-699.9397213543275,1000,0.029999999329447746
41000,7,-60.0,1.0,manual,0.03,manual_target_m060_alpha_0p03_scale_1,-772.4116379296829,1000,0.029999999329447746
42000,7,-60.0,1.0,manual,0.03,manual_target_m060_alpha_0p03_scale_1,-611.558177980978,1000,0.029999999329447746
43000,7,-60.0,1.0,manual,0.03,manual_target_m060_alpha_0p03_scale_1,-671.5280490085785,1000,0.029999999329447746
44000,7,-60.0,1.0,manual,0.03,manual_target_m060_alpha_0p03_scale_1,-611.9648082862554,1000,0.029999999329447746
45000,7,-60.0,1.0,manual,0.03,manual_target_m060_alpha_0p03_scale_1,-602.1329415736467,1000,0.029999999329447746
46000,7,-60.0,1.0,manual,0.03,manual_target_m060_alpha_0p03_scale_1,-598.9618263795859,1000,0.029999999329447746
47000,7,-60.0,1.0,manual,0.03,manual_target_m060_alpha_0p03_scale_1,-585.1625654783077,1000,0.029999999329447746
48000,7,-60.0,1.0,manual,0.03,manual_target_m060_alpha_0p03_scale_1,-603.8801472750008,1000,0.029999999329447746
49000,7,-60.0,1.0,manual,0.03,manual_target_m060_alpha_0p03_scale_1,-617.8916064661378,1000,0.029999999329447746
50000,7,-60.0,1.0,manual,0.03,manual_target_m060_alpha_0p03_scale_1,-754.6779291438739,1000,0.029999999329447746
51000,7,-60.0,1.0,manual,0.03,manual_target_m060_alpha_0p03_scale_1,-671.7125176316177,1000,0.029999999329447746
