global_step,event,episode_return,episode_length,alpha,hover_reward_value,replay_size,critic_loss,actor_loss,logp,alpha_loss
197,episode_end,-64.66931298715913,197,0.2,200.0,,,,,
331,episode_end,-555.2481089572182,134,0.2,200.0,,,,,
406,episode_end,189.98736800553985,75,0.2,200.0,,,,,
485,episode_end,168.30791518051564,79,0.2,200.0,,,,,
631,episode_end,145.97351962208683,146,0.2,200.0,,,,,
720,episode_end,-161.2342834318732,89,0.2,200.0,,,,,
863,episode_end,-75.81700894902919,143,0.2,200.0,,,,,
949,episode_end,-147.7752201567027,86,0.2,200.0,,,,,
1000,train_step,,,0.2,200.0,1000,,,,
1044,episode_end,-223.1938084286894,95,0.2,200.0,,,,,
1164,episode_end,-144.60402005562128,120,0.2,200.0,,,,,
1258,episode_end,-339.19639933470427,94,0.2,200.0,,,,,
1349,episode_end,-239.49290151721118,91,0.2,200.0,,,,,
1448,episode_end,-297.0518786771555,99,0.2,200.0,,,,,
1546,episode_end,-327.2814694659219,98,0.2,200.0,,,,,
1608,episode_end,-176.7995799184576,62,0.2,200.0,,,,,
1697,episode_end,-213.44438478687016,89,0.2,200.0,,,,,
1770,episode_end,-105.04449199425865,73,0.2,200.0,,,,,
1886,episode_end,-334.0875908153444,116,0.2,200.0,,,,,
1975,episode_end,-351.80195861060685,89,0.2,200.0,,,,,
2000,train_step,,,0.2,200.0,2000,,,,
2096,episode_end,-137.70827520192287,121,0.2,200.0,,,,,
2205,episode_end,-343.6308966521162,109,0.2,200.0,,,,,
2302,episode_end,-132.69196379916224,97,0.2,200.0,,,,,
2401,episode_end,-308.14040292009327,99,0.2,200.0,,,,,
2488,episode_end,-297.1643919447704,87,0.2,200.0,,,,,
2691,episode_end,-103.61974069291885,203,0.2,200.0,,,,,
2786,episode_end,28.37090753836611,95,0.2,200.0,,,,,
2885,episode_end,-418.0262722408294,99,0.2,200.0,,,,,
3000,train_step,,,0.2,200.0,3000,,,,
3009,episode_end,-201.63166240051868,124,0.2,200.0,,,,,
3093,episode_end,139.15066607415025,84,0.2,200.0,,,,,
3186,episode_end,-257.1063440795584,93,0.2,200.0,,,,,
