global_step,event,episode_return,episode_length,alpha,hover_reward_value,replay_size,critic_loss,actor_loss,logp,alpha_loss
148,episode_end,-319.05979163825805,148,0.2,200.0,,,,,
249,episode_end,-221.00043115037437,101,0.2,200.0,,,,,
365,episode_end,-282.3147549033948,116,0.2,200.0,,,,,
458,episode_end,-50.889745412906606,93,0.2,200.0,,,,,
579,episode_end,-226.20775527739235,121,0.2,200.0,,,,,
662,episode_end,-127.46376875375223,83,0.2,200.0,,,,,
760,episode_end,-331.2955699645724,98,0.2,200.0,,,,,
878,episode_end,-201.9365289065832,118,0.2,200.0,,,,,
974,episode_end,-112.21268747659539,96,0.2,200.0,,,,,
1000,train_step,,,0.2,200.0,1000,,,,
1090,episode_end,-154.81797243101977,116,0.2,200.0,,,,,
1219,episode_end,-114.25570649568456,129,0.2,200.0,,,,,
1305,episode_end,106.44941088385914,86,0.2,200.0,,,,,
1431,episode_end,-269.22683392814315,126,0.2,200.0,,,,,
1539,episode_end,-382.0794005640124,108,0.2,200.0,,,,,
1619,episode_end,-450.4722051713344,80,0.2,200.0,,,,,
1738,episode_end,-3.850723022578933,119,0.2,200.0,,,,,
1846,episode_end,-443.25560099895836,108,0.2,200.0,,,,,
1924,episode_end,-74.1129944837972,78,0.2,200.0,,,,,
2000,train_step,,,0.2,200.0,2000,,,,
2041,episode_end,-290.37023129933914,117,0.2,200.0,,,,,
2174,episode_end,-309.4698121665613,133,0.2,200.0,,,,,
2285,episode_end,-365.54505205306043,111,0.2,200.0,,,,,
2384,episode_end,-92.64532012171522,99,0.2,200.0,,,,,
2519,episode_end,-180.52939113119967,135,0.2,200.0,,,,,
2603,episode_end,-76.35894196095201,84,0.2,200.0,,,,,
2731,episode_end,-190.4963490482378,128,0.2,200.0,,,,,
2870,episode_end,33.354345704848896,139,0.2,200.0,,,,,
3000,train_step,,,0.2,200.0,3000,,,,
3015,episode_end,90.51508016419177,145,0.2,200.0,,,,,
3095,episode_end,-279.8712600107678,80,0.2,200.0,,,,,
3252,episode_end,-291.8309260019304,157,0.2,200.0,,,,,
3420,episode_end,-456.95395191311826,168,0.2,200.0,,,,,
3511,episode_end,-292.3057706550924,91,0.2,200.0,,,,,
3633,episode_end,-159.68926375283638,122,0.2,200.0,,,,,
3696,episode_end,-152.86964746728984,63,0.2,200.0,,,,,
3867,episode_end,-398.7888264695224,171,0.2,200.0,,,,,
