global_step,critic_loss,actor_loss,alpha,alpha_loss,entropy
10000,356.9604797363281,-0.2147715538740158,0.2,-0.04160422831773758,1.3844184875488281
11000,73.53140258789062,6.134903907775879,0.27663643790601566,1.4285608530044556,0.24689210951328278
12000,65.24247741699219,5.0915021896362305,0.3743082601014137,0.9734824895858765,0.36792367696762085
13000,23.633800506591797,11.798660278320312,0.49790629672692205,0.7020869255065918,0.35176610946655273
14000,116.02850341796875,11.085626602172852,0.655329014575922,0.3462342619895935,0.5393075942993164
15000,190.91195678710938,8.111459732055664,0.852080885489675,0.12219371646642685,0.5952098965644836
16000,32.183876037597656,10.151626586914062,1.1018250463430057,-0.06335027515888214,0.7052568197250366
17000,12.749573707580566,3.003300905227661,1.4130026038146108,-0.15697981417179108,0.9044980406761169
18000,25.677335739135742,-0.45247572660446167,1.8036605481495456,-0.23371171951293945,0.9623247981071472
19000,62.792335510253906,-7.208069324493408,2.2822281589073463,-0.2914285659790039,1.0053868293762207
20000,41.73286056518555,-16.09418487548828,2.8536488612778896,-0.26208484172821045,1.1086301803588867
21000,26.596532821655273,-31.822120666503906,3.5430368409768054,-0.255307137966156,1.1567420959472656
22000,36.470672607421875,-49.065696716308594,4.350276095043697,-0.22228316962718964,1.2073800563812256
23000,39.618858337402344,-65.6517333984375,5.306321947843786,-0.18037524819374084,1.250488042831421
24000,54.55683135986328,-99.23639678955078,6.446460635657159,-0.12158463895320892,1.2933242321014404
25000,70.43719482421875,-130.01315307617188,7.814973077101028,-0.11470723152160645,1.3027781248092651
26000,51.68878936767578,-166.01283264160156,9.412410383962804,-0.09171825647354126,1.317659854888916
27000,99.71107482910156,-217.17666625976562,11.319081354461169,-0.056202784180641174,1.3354063034057617
28000,56.505001068115234,-270.4369201660156,13.504008907722135,-0.06683074682950974,1.3328937292099
29000,126.30915832519531,-345.55950927734375,15.930644486084605,-0.04201222583651543,1.3433918952941895
30000,105.16646575927734,-422.80126953125,18.546123198394763,-0.028634948655962944,1.3487628698349
