global_step,event,episode_return,episode_length,alpha,hover_reward_value,replay_size,critic_loss,actor_loss,logp,alpha_loss
75,episode_end,-159.65906764370274,75,0.2,200.0,,,,,
166,episode_end,-353.14730305536403,91,0.2,200.0,,,,,
257,episode_end,-343.9711170204524,91,0.2,200.0,,,,,
360,episode_end,-343.04834053128025,103,0.2,200.0,,,,,
465,episode_end,-152.05909607296363,105,0.2,200.0,,,,,
560,episode_end,-300.82747561521103,95,0.2,200.0,,,,,
688,episode_end,-306.8707225585448,128,0.2,200.0,,,,,
804,episode_end,-157.26026521942566,116,0.2,200.0,,,,,
931,episode_end,-184.44657704550252,127,0.2,200.0,,,,,
1000,train_step,,,0.2,200.0,1000,,,,
1040,episode_end,-326.70203728535495,109,0.2,200.0,,,,,
1118,episode_end,-55.640676424088866,78,0.2,200.0,,,,,
1214,episode_end,-180.50181927260294,96,0.2,200.0,,,,,
1322,episode_end,-357.1707265849927,108,0.2,200.0,,,,,
1433,episode_end,-86.9187422436878,111,0.2,200.0,,,,,
1522,episode_end,-119.91982690892158,89,0.2,200.0,,,,,
1601,episode_end,-115.09613757315651,79,0.2,200.0,,,,,
1689,episode_end,-77.82398217321835,88,0.2,200.0,,,,,
1785,episode_end,-134.95924861140483,96,0.2,200.0,,,,,
1873,episode_end,-212.4327506445482,88,0.2,200.0,,,,,
1978,episode_end,-280.07960237605573,105,0.2,200.0,,,,,
2000,train_step,,,0.2,200.0,2000,,,,
2045,episode_end,-64.80231386010409,67,0.2,200.0,,,,,
2113,episode_end,-165.71359312892827,68,0.2,200.0,,,,,
2201,episode_end,-289.9788086297998,88,0.2,200.0,,,,,
2307,episode_end,-317.07695775380733,106,0.2,200.0,,,,,
2421,episode_end,-137.9245206588037,114,0.2,200.0,,,,,
2522,episode_end,-6.561795733561766,101,0.2,200.0,,,,,
2653,episode_end,134.82957701976937,131,0.2,200.0,,,,,
2750,episode_end,-278.93819167732113,97,0.2,200.0,,,,,
2910,episode_end,-141.7247745006312,160,0.2,200.0,,,,,
3000,train_step,,,0.2,200.0,3000,,,,
3002,episode_end,-311.9015554427333,92,0.2,200.0,,,,,
3109,episode_end,-184.57024681993155,107,0.2,200.0,,,,,
3200,episode_end,-19.182253880440427,91,0.2,200.0,,,,,
3327,episode_end,-374.88377498987785,127,0.2,200.0,,,,,
3459,episode_end,-134.01991587280835,132,0.2,200.0,,,,,
3572,episode_end,-86.75466314698906,113,0.2,200.0,,,,,
3677,episode_end,-228.0331911273944,105,0.2,200.0,,,,,
3761,episode_end,-60.09462054797954,84,0.2,200.0,,,,,
3878,episode_end,-169.3473677079504,117,0.2,200.0,,,,,
3987,episode_end,-288.8333852470165,109,0.2,200.0,,,,,
4000,train_step,,,0.2,200.0,4000,,,,
4107,episode_end,-147.31090446736454,120,0.2,200.0,,,,,
4205,episode_end,-328.8348901978454,98,0.2,200.0,,,,,
4313,episode_end,-171.52217473188563,108,0.2,200.0,,,,,
4408,episode_end,-269.7056773273621,95,0.2,200.0,,,,,
4485,episode_end,-54.2875349767331,77,0.2,200.0,,,,,
4607,episode_end,-216.45186913875625,122,0.2,200.0,,,,,
4705,episode_end,-290.47548621761933,98,0.2,200.0,,,,,
4815,episode_end,-402.966954649874,110,0.2,200.0,,,,,
4897,episode_end,173.4073019056804,82,0.2,200.0,,,,,
5000,train_step,,,0.2,200.0,5000,,,,
5033,episode_end,-441.20493038019407,136,0.2,200.0,,,,,
5129,episode_end,-264.0895246531801,96,0.2,200.0,,,,,
5215,episode_end,-348.3468491305174,86,0.2,200.0,,,,,
5320,episode_end,-333.0621527359443,105,0.2,200.0,,,,,
5415,episode_end,148.42536306102875,95,0.2,200.0,,,,,
5528,episode_end,-261.109239199234,113,0.2,200.0,,,,,
5614,episode_end,-86.23104022215058,86,0.2,200.0,,,,,
5711,episode_end,-216.20606402162693,97,0.2,200.0,,,,,
5782,episode_end,103.73694288638924,71,0.2,200.0,,,,,
5858,episode_end,-129.5183980944304,76,0.2,200.0,,,,,
5971,episode_end,-350.63061617946096,113,0.2,200.0,,,,,
6000,train_step,,,0.2,200.0,6000,,,,
6141,episode_end,-47.406710047161695,170,0.2,200.0,,,,,
6236,episode_end,-24.60795145507143,95,0.2,200.0,,,,,
6359,episode_end,-128.34287543152865,123,0.2,200.0,,,,,
6474,episode_end,-115.18930928889336,115,0.2,200.0,,,,,
6552,episode_end,-64.50109783318194,78,0.2,200.0,,,,,
