timestep,seed,target_angle_deg,reward_scale,mode,manual_alpha,condition,episode_return,episode_length,alpha
1000,2,-60.0,1.0,manual,0.5,manual_target_m060_alpha_0p5_scale_1,-4967.90581445847,1000,0.5
2000,2,-60.0,1.0,manual,0.5,manual_target_m060_alpha_0p5_scale_1,-4016.9472047557883,1000,0.5
3000,2,-60.0,1.0,manual,0.5,manual_target_m060_alpha_0p5_scale_1,-3397.9214052734483,1000,0.5
4000,2,-60.0,1.0,manual,0.5,manual_target_m060_alpha_0p5_scale_1,-3213.576476612484,1000,0.5
5000,2,-60.0,1.0,manual,0.5,manual_target_m060_alpha_0p5_scale_1,-1144.3656561850546,1000,0.5
6000,2,-60.0,1.0,manual,0.5,manual_target_m060_alpha_0p5_scale_1,-809.2093240869498,1000,0.5
7000,2,-60.0,1.0,manual,0.5,manual_target_m060_alpha_0p5_scale_1,-917.3892344476312,1000,0.5
8000,2,-60.0,1.0,manual,0.5,manual_target_m060_alpha_0p5_scale_1,-851.3853070697736,1000,0.5
9000,2,-60.0,1.0,manual,0.5,manual_target_m060_alpha_0p5_scale_1,-3388.405252947885,1000,0.5
10000,2,-60.0,1.0,manual,0.5,manual_target_m060_alpha_0p5_scale_1,-3297.1001249399806,1000,0.5
11000,2,-60.0,1.0,manual,0.5,manual_target_m060_alpha_0p5_scale_1,-958.4086761515961,1000,0.5
12000,2,-60.0,1.0,manual,0.5,manual_target_m060_alpha_0p5_scale_1,-861.4796599162931,1000,0.5
13000,2,-60.0,1.0,manual,0.5,manual_target_m060_alpha_0p5_scale_1,-3306.4032373947193,1000,0.5
14000,2,-60.0,1.0,manual,0.5,manual_target_m060_alpha_0p5_scale_1,-955.9206874671276,1000,0.5
15000,2,-60.0,1.0,manual,0.5,manual_target_m060_alpha_0p5_scale_1,-3404.1099670816848,1000,0.5
16000,2,-60.0,1.0,manual,0.5,manual_target_m060_alpha_0p5_scale_1,-928.5585090861972,1000,0.5
17000,2,-60.0,1.0,manual,0.5,manual_target_m060_alpha_0p5_scale_1,-937.6874457046032,1000,0.5
18000,2,-60.0,1.0,manual,0.5,manual_target_m060_alpha_0p5_scale_1,-1019.6171162289664,1000,0.5
19000,2,-60.0,1.0,manual,0.5,manual_target_m060_alpha_0p5_scale_1,-805.6842296900211,1000,0.5
20000,2,-60.0,1.0,manual,0.5,manual_target_m060_alpha_0p5_scale_1,-3277.3850829670905,1000,0.5
21000,2,-60.0,1.0,manual,0.5,manual_target_m060_alpha_0p5_scale_1,-905.4777777080733,1000,0.5
22000,2,-60.0,1.0,manual,0.5,manual_target_m060_alpha_0p5_scale_1,-931.6479491677379,1000,0.5
23000,2,-60.0,1.0,manual,0.5,manual_target_m060_alpha_0p5_scale_1,-1066.2321624605522,1000,0.5
24000,2,-60.0,1.0,manual,0.5,manual_target_m060_alpha_0p5_scale_1,-832.8751313776569,1000,0.5
25000,2,-60.0,1.0,manual,0.5,manual_target_m060_alpha_0p5_scale_1,-813.762594367624,1000,0.5
26000,2,-60.0,1.0,manual,0.5,manual_target_m060_alpha_0p5_scale_1,-930.5103701782192,1000,0.5
27000,2,-60.0,1.0,manual,0.5,manual_target_m060_alpha_0p5_scale_1,-1017.5721368397052,1000,0.5
28000,2,-60.0,1.0,manual,0.5,manual_target_m060_alpha_0p5_scale_1,-1022.6751621831922,1000,0.5
29000,2,-60.0,1.0,manual,0.5,manual_target_m060_alpha_0p5_scale_1,-1051.572870888933,1000,0.5
30000,2,-60.0,1.0,manual,0.5,manual_target_m060_alpha_0p5_scale_1,-996.2922382829275,1000,0.5
31000,2,-60.0,1.0,manual,0.5,manual_target_m060_alpha_0p5_scale_1,-930.6958091965181,1000,0.5
32000,2,-60.0,1.0,manual,0.5,manual_target_m060_alpha_0p5_scale_1,-911.2333551438172,1000,0.5
33000,2,-60.0,1.0,manual,0.5,manual_target_m060_alpha_0p5_scale_1,-1001.8175067642811,1000,0.5
34000,2,-60.0,1.0,manual,0.5,manual_target_m060_alpha_0p5_scale_1,-806.8799791931531,1000,0.5
35000,2,-60.0,1.0,manual,0.5,manual_target_m060_alpha_0p5_scale_1,-961.4789973055744,1000,0.5
36000,2,-60.0,1.0,manual,0.5,manual_target_m060_alpha_0p5_scale_1,-909.9064706916932,1000,0.5
37000,2,-60.0,1.0,manual,0.5,manual_target_m060_alpha_0p5_scale_1,-1024.7291103115615,1000,0.5
38000,2,-60.0,1.0,manual,0.5,manual_target_m060_alpha_0p5_scale_1,-996.6405171414414,1000,0.5
39000,2,-60.0,1.0,manual,0.5,manual_target_m060_alpha_0p5_scale_1,-958.3535241068766,1000,0.5
40000,2,-60.0,1.0,manual,0.5,manual_target_m060_alpha_0p5_scale_1,-1005.2252082694929,1000,0.5
41000,2,-60.0,1.0,manual,0.5,manual_target_m060_alpha_0p5_scale_1,-884.0063948585926,1000,0.5
42000,2,-60.0,1.0,manual,0.5,manual_target_m060_alpha_0p5_scale_1,-786.450973964162,1000,0.5
43000,2,-60.0,1.0,manual,0.5,manual_target_m060_alpha_0p5_scale_1,-901.4736497623093,1000,0.5
44000,2,-60.0,1.0,manual,0.5,manual_target_m060_alpha_0p5_scale_1,-900.3145746981804,1000,0.5
45000,2,-60.0,1.0,manual,0.5,manual_target_m060_alpha_0p5_scale_1,-905.6178844242763,1000,0.5
46000,2,-60.0,1.0,manual,0.5,manual_target_m060_alpha_0p5_scale_1,-905.6713358315592,1000,0.5
47000,2,-60.0,1.0,manual,0.5,manual_target_m060_alpha_0p5_scale_1,-904.2167154437029,1000,0.5
48000,2,-60.0,1.0,manual,0.5,manual_target_m060_alpha_0p5_scale_1,-1029.3024595068416,1000,0.5
49000,2,-60.0,1.0,manual,0.5,manual_target_m060_alpha_0p5_scale_1,-788.9286656807362,1000,0.5
50000,2,-60.0,1.0,manual,0.5,manual_target_m060_alpha_0p5_scale_1,-886.2039192899427,1000,0.5
51000,2,-60.0,1.0,manual,0.5,manual_target_m060_alpha_0p5_scale_1,-879.7554513248374,1000,0.5
52000,2,-60.0,1.0,manual,0.5,manual_target_m060_alpha_0p5_scale_1,-953.1269685350429,1000,0.5
53000,2,-60.0,1.0,manual,0.5,manual_target_m060_alpha_0p5_scale_1,-872.1724923711581,1000,0.5
54000,2,-60.0,1.0,manual,0.5,manual_target_m060_alpha_0p5_scale_1,-954.0173652307516,1000,0.5
55000,2,-60.0,1.0,manual,0.5,manual_target_m060_alpha_0p5_scale_1,-979.351606610805,1000,0.5
56000,2,-60.0,1.0,manual,0.5,manual_target_m060_alpha_0p5_scale_1,-960.6138283535054,1000,0.5
57000,2,-60.0,1.0,manual,0.5,manual_target_m060_alpha_0p5_scale_1,-915.8624622779801,1000,0.5
58000,2,-60.0,1.0,manual,0.5,manual_target_m060_alpha_0p5_scale_1,-989.5992885045076,1000,0.5
59000,2,-60.0,1.0,manual,0.5,manual_target_m060_alpha_0p5_scale_1,-908.9969889493343,1000,0.5
60000,2,-60.0,1.0,manual,0.5,manual_target_m060_alpha_0p5_scale_1,-805.9421661285281,1000,0.5
61000,2,-60.0,1.0,manual,0.5,manual_target_m060_alpha_0p5_scale_1,-908.6741855528269,1000,0.5
62000,2,-60.0,1.0,manual,0.5,manual_target_m060_alpha_0p5_scale_1,-898.4315766369164,1000,0.5
63000,2,-60.0,1.0,manual,0.5,manual_target_m060_alpha_0p5_scale_1,-876.0450871582677,1000,0.5
64000,2,-60.0,1.0,manual,0.5,manual_target_m060_alpha_0p5_scale_1,-913.7297896097353,1000,0.5
65000,2,-60.0,1.0,manual,0.5,manual_target_m060_alpha_0p5_scale_1,-778.952795552592,1000,0.5
66000,2,-60.0,1.0,manual,0.5,manual_target_m060_alpha_0p5_scale_1,-1028.175965099794,1000,0.5
67000,2,-60.0,1.0,manual,0.5,manual_target_m060_alpha_0p5_scale_1,-895.7643747338543,1000,0.5
68000,2,-60.0,1.0,manual,0.5,manual_target_m060_alpha_0p5_scale_1,-881.9547241731472,1000,0.5
69000,2,-60.0,1.0,manual,0.5,manual_target_m060_alpha_0p5_scale_1,-787.332653264819,1000,0.5
70000,2,-60.0,1.0,manual,0.5,manual_target_m060_alpha_0p5_scale_1,-966.8738261852717,1000,0.5
71000,2,-60.0,1.0,manual,0.5,manual_target_m060_alpha_0p5_scale_1,-996.187293474896,1000,0.5
72000,2,-60.0,1.0,manual,0.5,manual_target_m060_alpha_0p5_scale_1,-885.8079686864628,1000,0.5
73000,2,-60.0,1.0,manual,0.5,manual_target_m060_alpha_0p5_scale_1,-975.6450624964394,1000,0.5
74000,2,-60.0,1.0,manual,0.5,manual_target_m060_alpha_0p5_scale_1,-881.5129364383054,1000,0.5
75000,2,-60.0,1.0,manual,0.5,manual_target_m060_alpha_0p5_scale_1,-887.8469449907109,1000,0.5
76000,2,-60.0,1.0,manual,0.5,manual_target_m060_alpha_0p5_scale_1,-889.1591951614919,1000,0.5
77000,2,-60.0,1.0,manual,0.5,manual_target_m060_alpha_0p5_scale_1,-958.2415640237821,1000,0.5
78000,2,-60.0,1.0,manual,0.5,manual_target_m060_alpha_0p5_scale_1,-968.6457656407582,1000,0.5
79000,2,-60.0,1.0,manual,0.5,manual_target_m060_alpha_0p5_scale_1,-958.4614512271287,1000,0.5
80000,2,-60.0,1.0,manual,0.5,manual_target_m060_alpha_0p5_scale_1,-988.8282377367453,1000,0.5
81000,2,-60.0,1.0,manual,0.5,manual_target_m060_alpha_0p5_scale_1,-1028.4541115548695,1000,0.5
82000,2,-60.0,1.0,manual,0.5,manual_target_m060_alpha_0p5_scale_1,-876.7287271033259,1000,0.5
83000,2,-60.0,1.0,manual,0.5,manual_target_m060_alpha_0p5_scale_1,-1002.0229015181409,1000,0.5
84000,2,-60.0,1.0,manual,0.5,manual_target_m060_alpha_0p5_scale_1,-983.2864322109564,1000,0.5
85000,2,-60.0,1.0,manual,0.5,manual_target_m060_alpha_0p5_scale_1,-895.8472517472985,1000,0.5
86000,2,-60.0,1.0,manual,0.5,manual_target_m060_alpha_0p5_scale_1,-969.1711615985802,1000,0.5
87000,2,-60.0,1.0,manual,0.5,manual_target_m060_alpha_0p5_scale_1,-891.4783256013825,1000,0.5
88000,2,-60.0,1.0,manual,0.5,manual_target_m060_alpha_0p5_scale_1,-892.6488723985235,1000,0.5
89000,2,-60.0,1.0,manual,0.5,manual_target_m060_alpha_0p5_scale_1,-793.1369352113214,1000,0.5
90000,2,-60.0,1.0,manual,0.5,manual_target_m060_alpha_0p5_scale_1,-886.4767606420472,1000,0.5
91000,2,-60.0,1.0,manual,0.5,manual_target_m060_alpha_0p5_scale_1,-801.3428449280051,1000,0.5
92000,2,-60.0,1.0,manual,0.5,manual_target_m060_alpha_0p5_scale_1,-903.465749642888,1000,0.5
93000,2,-60.0,1.0,manual,0.5,manual_target_m060_alpha_0p5_scale_1,-889.9980646364479,1000,0.5
94000,2,-60.0,1.0,manual,0.5,manual_target_m060_alpha_0p5_scale_1,-976.4309335853897,1000,0.5
95000,2,-60.0,1.0,manual,0.5,manual_target_m060_alpha_0p5_scale_1,-822.5509006553234,1000,0.5
96000,2,-60.0,1.0,manual,0.5,manual_target_m060_alpha_0p5_scale_1,-949.8054389976305,1000,0.5
97000,2,-60.0,1.0,manual,0.5,manual_target_m060_alpha_0p5_scale_1,-886.0027739767692,1000,0.5
98000,2,-60.0,1.0,manual,0.5,manual_target_m060_alpha_0p5_scale_1,-777.5113031180639,1000,0.5
99000,2,-60.0,1.0,manual,0.5,manual_target_m060_alpha_0p5_scale_1,-954.3634298532085,1000,0.5
100000,2,-60.0,1.0,manual,0.5,manual_target_m060_alpha_0p5_scale_1,-953.0342268679257,1000,0.5
101000,2,-60.0,1.0,manual,0.5,manual_target_m060_alpha_0p5_scale_1,-934.5667912100681,1000,0.5
