target_angle_deg,agent,manual_alpha,final_step,final_return_mean_over_seeds,final_return_std_over_seeds,n_seeds,ci95
-60,auto,,300000,-903.5424185916951,728.6634852774264,15,368.7546016799396
-60,manual,,300000,-693.1627995122792,145.13872601254738,3,164.23992976503982
90,auto,,300000,-1468.7456758412002,19.609723305374317,15,9.92388921996549
90,manual,,300000,-1519.6152090576852,129.08213099427732,3,146.07018203114845
120,auto,,300000,-496.50594878218726,3.9541122427312247,15,2.0010568863773646
120,manual,,300000,-547.2429042027546,87.0048844017795,3,98.45529512315215
-150,auto,,300000,-72.79399231750952,5.999528399931716,15,3.0361802808631047
-150,manual,,300000,-115.2186948579246,46.324585837201965,3,52.4212037222847
