reward_scale,agent,final_step,final_return_mean_over_seeds,final_return_std_over_seeds,n_seeds,ci95
10.0,auto_scaled,300000,-14674.889860657999,118.6754932724474,15,60.058085982159504
10.0,manual_scaled,300000,-14359.797620054826,342.11890801353843,15,173.13605553278927
0.1,auto_scaled,300000,-145.29941736204717,0.8509038070492794,15,0.4306167397930428
0.1,manual_scaled,300000,-147.69478450332068,0.9787127589078991,15,0.495296993553545
