table,target_angle_deg,metric,mean,std,n_seeds,ci95
auto_final,0,eval_return_mean,-153.08433560776925,13.83422464205223,15,7.001083628457778
auto_final,0,mean_abs_angle_error_deg,5.127902756709516,1.6958400630165935,15,0.8582134820608948
auto_final,0,target_occupancy,0.9652033333333333,0.0032386321333609473,15,0.0016389739934212218
auto_final,0,mean_squared_torque,0.20861797541753144,0.14527650179172333,15,0.07352005367918987
auto_final,0,alpha,0.008021698193624574,0.00396684500927415,15,0.002007500555299559
auto_final,-10,eval_return_mean,-156.63948132077107,14.439465122063938,15,7.307377571597139
auto_final,-10,mean_abs_angle_error_deg,6.372969481919155,2.0624773454665064,15,1.043757547027123
auto_final,-10,target_occupancy,0.9578,0.013352594718416554,15,0.006757345257816364
auto_final,-10,mean_squared_torque,0.9187272967102998,0.560546446985156,15,0.28367564171603504
auto_final,-10,alpha,0.010602408088743633,0.006661027717276691,15,0.003370945123904781
auto_final,30,eval_return_mean,-206.42510853069186,40.02957934129735,15,20.257762168218992
auto_final,30,mean_abs_angle_error_deg,15.764052483801146,3.52391190196057,15,1.783345475679931
auto_final,30,target_occupancy,0.1295066666666667,0.32986586877237295,15,0.16693516212171852
auto_final,30,mean_squared_torque,2.1314523123046896,0.6995627701139915,15,0.35402760788168697
auto_final,30,alpha,0.025817537183562868,0.014948956720302515,15,0.007565215894998526
auto_final,-60,eval_return_mean,-903.5424185916951,728.6634852774264,15,368.7546016799396
auto_final,-60,mean_abs_angle_error_deg,48.389004051802985,17.865112140540877,15,9.04099415499652
auto_final,-60,target_occupancy,0.00207,0.0006099765803466791,15,0.0003086907406018738
auto_final,-60,mean_squared_torque,2.979384690947469,0.40907129975566997,15,0.20701864063171058
auto_final,-60,alpha,0.052190314730008396,0.02445796951319467,15,0.012377440324602485
auto_final,90,eval_return_mean,-1468.7456758412002,19.609723305374317,15,9.92388921996549
auto_final,90,mean_abs_angle_error_deg,68.55563125689915,0.4096277231559328,15,0.2073002297238979
auto_final,90,target_occupancy,0.0003733333333333334,0.00021117584638219897,15,0.00010686972339150961
auto_final,90,mean_squared_torque,3.464351782632496,0.10242449212051116,15,0.051833944690928356
auto_final,90,alpha,0.07175030857324595,0.0038894441622833206,15,0.001968330322292856
auto_final,-90,eval_return_mean,-1449.919887374812,13.458533873118244,15,6.810957867180834
auto_final,-90,mean_abs_angle_error_deg,68.22566953788548,0.3043897013043177,15,0.15404244253739988
auto_final,-90,target_occupancy,0.0007366666666666667,0.00011254628677422756,15,5.695627952893147e-05
auto_final,-90,mean_squared_torque,3.5123051048705287,0.07734999392716568,15,0.039144497805729914
auto_final,-90,alpha,0.07060158600409822,0.00344834768454104,15,0.001745104705476953
auto_final,120,eval_return_mean,-496.50594878218726,3.9541122427312247,15,2.0010568863773646
auto_final,120,mean_abs_angle_error_deg,38.38534479399244,0.09778025485563624,15,0.049483636356122684
auto_final,120,target_occupancy,0.0031333333333333343,0.0004232808366400098,15,0.000214209658460532
auto_final,120,mean_squared_torque,3.618041740568076,0.028609351266176836,15,0.014478329357294258
auto_final,120,alpha,0.042750630527734715,0.00032482964810362535,15,0.00016438648281474154
auto_final,-150,eval_return_mean,-72.79399231750952,5.999528399931716,15,3.0361802808631047
auto_final,-150,mean_abs_angle_error_deg,8.936262852014217,0.13465640087003589,15,0.06814554107590418
auto_final,-150,target_occupancy,0.9710533333333334,0.0019854350608751532,15,0.0010047687716307815
auto_final,-150,mean_squared_torque,3.56313842138483,0.02739311761107995,15,0.01386283020563273
auto_final,-150,alpha,0.009901194150249114,0.0004250457273379318,15,0.00021510281638523996
